"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity - NACE 2","MEASURE","Measure","EMISSION","Emissions","YEA","Year","Value","Flag Codes","Flags"
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2018","2018",3565800,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2019","2019",4080460,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2007","2007",206500,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2008","2008",211460,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2009","2009",191360,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2010","2010",194960,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2011","2011",203910,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2012","2012",177380,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2013","2013",155190,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2014","2014",161170,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2015","2015",194060,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2016","2016",199710,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2017","2017",248700,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2018","2018",263530,,
"RUS","Russia","N2O","Nitrous oxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2019","2019",249670,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",59954410,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",63612000,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2009","2009",54162580,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2010","2010",55877890,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2011","2011",58372580,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2012","2012",55083520,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2013","2013",48286200,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2014","2014",47578180,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2015","2015",51559500,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2016","2016",54155130,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",59277460,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",58726470,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",55791800,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2007","2007",119870,,
"RUS","Russia","CH4","Methane","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2008","2008",129340,,
